X_TIME,Y_TIME,DURATION_MS
2026-01-14 13:17:35.881,2026-01-14 13:17:36.781,900
2026-01-14 13:18:16.060,2026-01-14 13:18:16.910,850
2026-01-14 13:19:26.570,2026-01-14 13:19:27.420,850
2026-01-14 13:20:45.372,2026-01-14 13:20:46.221,849
2026-01-14 13:22:04.671,2026-01-14 13:22:05.521,850
2026-01-14 13:23:24.570,2026-01-14 13:23:25.420,850
2026-01-14 13:24:42.281,2026-01-14 13:24:43.122,841
2026-01-14 13:25:54.870,2026-01-14 13:25:55.721,851
2026-01-14 13:27:09.071,2026-01-14 13:27:09.921,850
2026-01-14 13:28:23.281,2026-01-14 13:28:24.131,850
2026-01-14 13:29:41.260,2026-01-14 13:29:42.111,851
2026-01-14 13:30:58.781,2026-01-14 13:30:59.631,850
2026-01-14 13:32:15.580,2026-01-14 13:32:16.430,850
2026-01-14 13:33:32.271,2026-01-14 13:33:33.120,849
2026-01-14 13:34:49.270,2026-01-14 13:34:50.120,850
2026-01-14 13:36:04.970,2026-01-14 13:36:05.821,851
2026-01-14 13:37:18.871,2026-01-14 13:37:19.721,850
2026-01-14 13:38:34.871,2026-01-14 13:38:35.721,850
2026-01-14 13:39:58.881,2026-01-14 13:39:59.721,840
2026-01-14 13:41:15.270,2026-01-14 13:41:16.120,850
2026-01-14 13:42:30.971,2026-01-14 13:42:31.811,840
2026-01-14 13:43:52.480,2026-01-14 13:43:53.320,840
2026-01-14 13:45:09.970,2026-01-14 13:45:10.820,850
2026-01-14 13:46:35.970,2026-01-14 13:46:36.822,852
2026-01-14 13:48:00.592,2026-01-14 13:48:01.441,849
2026-01-14 13:49:32.882,2026-01-14 13:49:33.721,839
2026-01-14 13:50:53.980,2026-01-14 13:50:54.831,851
2026-01-14 13:52:15.591,2026-01-14 13:52:16.440,849
2026-01-14 13:53:43.571,2026-01-14 13:53:44.420,849
2026-01-14 13:55:10.281,2026-01-14 13:55:11.121,840
2026-01-14 13:56:41.370,2026-01-14 13:56:42.221,851
2026-01-14 13:59:15.570,2026-01-14 13:59:16.420,850
2026-01-14 14:00:38.481,2026-01-14 14:00:39.330,849
2026-01-14 14:02:02.470,2026-01-14 14:02:03.311,841
2026-01-14 14:03:21.671,2026-01-14 14:03:22.520,849
2026-01-14 14:04:46.270,2026-01-14 14:04:47.111,841
2026-01-14 14:06:08.470,2026-01-14 14:06:09.321,851
2026-01-14 14:07:32.981,2026-01-14 14:07:33.830,849
2026-01-14 14:08:50.180,2026-01-14 14:08:51.031,851
2026-01-14 14:10:08.671,2026-01-14 14:10:09.531,860
2026-01-14 14:11:27.180,2026-01-14 14:11:28.021,841
2026-01-14 14:12:56.771,2026-01-14 14:12:57.621,850
2026-01-14 14:14:16.781,2026-01-14 14:14:17.630,849
2026-01-14 14:15:41.391,2026-01-14 14:15:42.241,850
2026-01-14 14:17:11.090,2026-01-14 14:17:11.940,850
2026-01-14 14:18:29.781,2026-01-14 14:18:30.630,849
2026-01-14 14:19:46.281,2026-01-14 14:19:47.131,850
2026-01-14 14:21:09.380,2026-01-14 14:21:10.230,850
2026-01-14 14:22:30.781,2026-01-14 14:22:31.631,850
2026-01-14 14:23:46.181,2026-01-14 14:23:47.031,850
2026-01-14 14:25:05.980,2026-01-14 14:25:06.830,850
2026-01-14 14:26:23.171,2026-01-14 14:26:24.021,850
2026-01-14 14:27:56.291,2026-01-14 14:27:57.131,840
2026-01-14 14:29:14.080,2026-01-14 14:29:14.931,851
2026-01-14 14:31:06.480,2026-01-14 14:31:07.330,850
2026-01-14 14:32:53.480,2026-01-14 14:32:54.321,841
