Name,TIME,IO
data002,2026-02-12 03:00:16.000,X
data006,2026-02-12 03:00:06.650,X
data007,2026-02-12 03:00:05.420,X
data007,2026-02-12 03:00:09.669,X
data011,2026-02-12 02:39:04.280,X
data011,2026-02-12 02:39:42.749,X
data011,2026-02-12 02:40:15.980,X
data011,2026-02-12 02:40:44.670,X
data011,2026-02-12 02:41:16.079,X
data011,2026-02-12 02:41:49.280,X
data011,2026-02-12 02:42:20.539,X
data011,2026-02-12 02:42:51.069,X
data011,2026-02-12 02:43:26.439,X
data011,2026-02-12 02:43:58.860,X
data011,2026-02-12 02:44:31.630,X
data011,2026-02-12 02:45:06.630,X
data011,2026-02-12 02:45:42.730,X
data011,2026-02-12 02:46:15.029,X
data011,2026-02-12 02:46:47.220,X
data011,2026-02-12 02:47:16.479,X
data011,2026-02-12 02:47:58.829,X
data011,2026-02-12 02:48:50.420,X
data011,2026-02-12 02:49:33.339,X
data011,2026-02-12 02:50:13.019,X
data011,2026-02-12 02:50:48.219,X
data011,2026-02-12 02:51:28.810,X
data011,2026-02-12 02:52:09.740,X
data011,2026-02-12 02:52:41.320,X
data011,2026-02-12 02:53:21.519,X
data011,2026-02-12 02:53:58.599,X
data011,2026-02-12 02:54:33.619,X
data011,2026-02-12 02:55:10.740,X
data011,2026-02-12 02:56:09.509,X
data011,2026-02-12 02:57:27.099,X
data011,2026-02-12 02:58:01.479,X
data011,2026-02-12 02:58:32.480,X
data011,2026-02-12 02:59:03.519,X
data011,2026-02-12 02:59:36.200,X
data011,2026-02-12 03:00:07.830,X
data012,2026-02-12 02:36:37.490,X
data012,2026-02-12 02:37:17.200,X
data012,2026-02-12 02:37:50.889,X
data012,2026-02-12 02:38:27.319,X
data012,2026-02-12 02:38:57.489,X
data012,2026-02-12 02:39:35.909,X
data012,2026-02-12 02:40:09.289,X
data012,2026-02-12 02:40:38.009,X
data012,2026-02-12 02:41:09.280,X
data012,2026-02-12 02:41:42.521,X
data012,2026-02-12 02:42:13.679,X
data012,2026-02-12 02:42:44.220,X
data012,2026-02-12 02:43:19.689,X
data012,2026-02-12 02:43:52.230,X
data012,2026-02-12 02:44:24.890,X
data012,2026-02-12 02:44:59.909,X
data012,2026-02-12 02:45:36.089,X
data012,2026-02-12 02:46:08.319,X
data012,2026-02-12 02:46:40.389,X
data012,2026-02-12 02:47:09.710,X
data012,2026-02-12 02:47:52.189,X
data012,2026-02-12 02:48:43.719,X
data012,2026-02-12 02:49:26.799,X
data012,2026-02-12 02:50:06.319,X
data012,2026-02-12 02:50:41.789,X
data012,2026-02-12 02:51:22.119,X
data012,2026-02-12 02:52:02.999,X
data012,2026-02-12 02:52:34.609,X
data012,2026-02-12 02:53:14.900,X
data012,2026-02-12 02:53:51.810,X
data012,2026-02-12 02:54:26.390,X
data012,2026-02-12 02:55:03.920,X
data012,2026-02-12 02:56:02.990,X
data012,2026-02-12 02:57:20.519,X
data012,2026-02-12 02:57:54.889,X
data012,2026-02-12 02:58:25.820,X
data012,2026-02-12 02:58:56.899,X
data012,2026-02-12 02:59:29.320,X
data012,2026-02-12 03:00:00.899,X
data013,2026-02-11 22:58:30.909,X
data013,2026-02-11 22:59:11.289,X
