"x","pred"
13.73,"3.05"
13.58,"3.2"
14.43,"3.3"
14.67,"3.1"
14.47,"3.35"
15.29,"3.4"
14.21,"3.55"
14.14,"2.95"
14.4,"3.05"
14.55,"3.1"
14.21,"3.55"
13.63,"3.1"
13.55,"3.3"
13.99,"3.4"
13.87,"3.15"
13.65,"2.95"
14.07,"3.5"
13.66,"3.35"
13.59,"3.15"
13.7,"3.5"
14.22,"3.05"
13.42,"3"
14.09,"3.25"
13.61,"3.4"
13.69,"3"
15.42,"3.55"
14.03,"3"
13.52,"3.3"
14.75,"3.4"
15.41,"3.85"
14.75,"3.4"
17.02,"3.35"
13.54,"3.05"
13.4,"3.1"
13.58,"3.2"
15.41,"3.85"
14.93,"2.95"
13.39,"3.05"
15.2,"3.15"
13.79,"3.15"
14.16,"3.2"
13.31,"3.2"
14.1,"3.1"
13.4,"3.1"
13.55,"3.3"
13.59,"3.15"
13.46,"3.15"
14.19,"2.95"
13.94,"3.25"
17.51,"3.1"
14.01,"3.15"
14.34,"3"
21.55,"3.2"
19.79,"3.35"
14.21,"3.55"
13.73,"3.05"
14.93,"2.95"
13.75,"3.05"
13.9,"3.4"
14.41,"3.1"
14.32,"3.45"
13.89,"3.2"
13.51,"3.05"
19.96,"3.2"
16.18,"2.35"
20.36,"3.2"
13.66,"3.35"
13.63,"3.1"
19.97,"3.2"
13.65,"2.95"
14.59,"3.05"
13.52,"3.3"
13.88,"3.05"
20.1,"2.25"
13.91,"3.2"
13.57,"3.45"
13.33,"2.9"
12.89,"3.35"
13.27,"2.95"
13.91,"3.2"
13.15,"3.25"
13.35,"3.45"
13.42,"3"
13.25,"3.15"
15.53,"3.4"
13.99,"3.4"
14.58,"3"
14.21,"3.55"
15.22,"3.4"
14.62,"3.5"
13.79,"3.15"
15.35,"3.2"
13.81,"3.05"
16.71,"3.15"
14.18,"3.3"
13.65,"2.95"
13.93,"3.05"
14.21,"3.55"
13.7,"3.5"
14.75,"3.4"
13.77,"3.25"
16.32,"3.1"
14.61,"3.15"
13.72,"3.35"
13.7,"3.5"
13.4,"3.1"
13.63,"3.1"
13.57,"3.45"
13.29,"3.15"
13.49,"3.2"
14.11,"3.05"
13.55,"3.3"
13.54,"3.05"
14.94,"2.75"
14.32,"3.45"
14.94,"2.75"
14.25,"3.15"
14.38,"3.2"
15.05,"3.25"
13.42,"3"
13.7,"3.5"
14.26,"3"
14.05,"3"
13.83,"3.15"
13.71,"3.1"
13.9,"3.4"
14.89,"3.05"
13.86,"3.25"
13.8,"3.05"
13.84,"3.2"
14.2,"3.35"
13.6,"3.25"
13.85,"3.05"
13.89,"3.2"
13.95,"3.5"
16.66,"3.15"
13.99,"3.4"
14.13,"3"
13.83,"3.15"
13.58,"3.2"
13.9,"3.4"
13.44,"3"
13.46,"3.15"
13.57,"3.45"
13.47,"3.1"
13.48,"3"
13.66,"3.35"
14.17,"3.4"
13.87,"3.15"
13.79,"3.15"
13.72,"3.35"
13.73,"3.05"
13.81,"3.05"
13.77,"3.25"
13.74,"3.3"
13.92,"3.05"
13.86,"3.25"
13.57,"3.45"
13.68,"3.45"
13.39,"3.05"
13.52,"3.3"
13.48,"3"
13.68,"3.45"
13.65,"2.95"
13.56,"3.2"
13.66,"3.35"
13.72,"3.35"
13.9,"3.4"
13.68,"3.45"
13.96,"3.2"
13.98,"3.35"
13.72,"3.35"
13.74,"3.3"
15.05,"3.25"
13.72,"3.35"
13.68,"3.45"
13.31,"3.2"
16.34,"2.9"
13.45,"3.4"
13.52,"3.3"
13.92,"3.05"
13.72,"3.35"
14.36,"3.35"
14.46,"3.35"
14.2,"3.35"
14.06,"3.3"
14.24,"3.05"
13.96,"3.2"
14.51,"3.05"
13.85,"3.05"
13.82,"3.4"
13.92,"3.05"
14.14,"2.95"
14.06,"3.3"
14.14,"2.95"
13.95,"3.5"
13.92,"3.05"
13.76,"3"
13.39,"3.05"
13.39,"3.05"
13.53,"3.3"
13.82,"3.4"
13.73,"3.05"
13.4,"3.1"
13.42,"3"
13.48,"3"
14.21,"3.55"
14.34,"3"
14.11,"3.05"
15.33,"2.55"
14.23,"3.5"
13.72,"3.35"
14.58,"3"
13.9,"3.4"
13.85,"3.05"
14.12,"3.15"
13.73,"3.05"
13.93,"3.05"
13.72,"3.35"
13.65,"2.95"
13.68,"3.45"
13.54,"3.05"
15.46,"2.95"
13.47,"3.1"
14.79,"3.25"
13.78,"3.2"
16.42,"1.6"
18.56,"3.15"
14.23,"3.5"
15.45,"3.15"
14.56,"3.3"
14.28,"3.35"
13.78,"3.2"
13.74,"3.3"
14.21,"3.55"
13.6,"3.25"
13.8,"3.05"
13.79,"3.15"
13.59,"3.15"
13.6,"3.25"
13.73,"3.05"
13.66,"3.35"
13.78,"3.2"
13.65,"2.95"
13.62,"3.4"
13.64,"3.05"
13.67,"3.3"
13.82,"3.4"
14.03,"3"
14.07,"3.5"
14.04,"3.2"
14.62,"3.5"
13.91,"3.2"
13.76,"3"
14.21,"3.55"
13.78,"3.2"
13.83,"3.15"
14.57,"3.4"
13.52,"3.3"
14.29,"3.25"
13.56,"3.2"
13.95,"3.5"
13.4,"3.1"
13.65,"2.95"
13.5,"3.15"
13.58,"3.2"
13.43,"3.1"
14.13,"3"
13.56,"3.2"
13.66,"3.35"
13.34,"3.05"
14.52,"3.05"
16.58,"2.85"
14.37,"3.1"
13.97,"3.15"
14.33,"3.2"
13.78,"3.2"
13.83,"3.15"
14.05,"3"
14.6,"3.4"
13.76,"3"
14.29,"3.25"
13.77,"3.25"
13.84,"3.2"
13.84,"3.2"
13.45,"3.4"
13.8,"3.05"
13.58,"3.2"
13.43,"3.1"
12.97,"3.15"
14.11,"3.05"
14.11,"3.05"
14.64,"3.35"
14.7,"3.05"
14.94,"2.75"
13.81,"3.05"
13.77,"3.25"
13.54,"3.05"
13.87,"3.15"
14.06,"3.3"
13.5,"3.15"
13.64,"3.05"
13.35,"3.45"
13.57,"3.45"
13.84,"3.2"
13.66,"3.35"
13.71,"3.1"
13.51,"3.05"
13.52,"3.3"
14.04,"3.2"
14.21,"3.55"
14.17,"3.4"
14.12,"3.15"
28.56,"3.2"
28.5,"3.2"
13.81,"3.05"
13.74,"3.3"
13.82,"3.4"
14.43,"3.3"
13.65,"2.95"
14.12,"3.15"
13.68,"3.45"
14.34,"3"
14.05,"3"
13.72,"3.35"
15.62,"3.05"
14.06,"3.3"
15.91,"3.6"
13.79,"3.15"
13.86,"3.25"
13.47,"3.1"
14.12,"3.15"
13.32,"3.45"
13.43,"3.1"
13.25,"3.15"
13.69,"3"
13.6,"3.25"
14.29,"3.25"
13.28,"3.15"
13.34,"3.05"
14.27,"3.05"
14.02,"3.1"
13.6,"3.25"
13.92,"3.05"
14.57,"3.4"
13.8,"3.05"
14.86,"3.2"
13.87,"3.15"
14.24,"3.05"
13.8,"3.05"
14.28,"3.35"
13.94,"3.25"
14.55,"3.1"
14.02,"3.1"
14.13,"3"
14.06,"3.3"
13.89,"3.2"
13.79,"3.15"
13.58,"3.2"
14.02,"3.1"
13.81,"3.05"
13.6,"3.25"
13.77,"3.25"
13.69,"3"
13.51,"3.05"
13.74,"3.3"
13.97,"3.15"
13.41,"3.05"
13.79,"3.15"
14.16,"3.2"
15.02,"3.25"
14.06,"3.3"
14.86,"3.2"
14.46,"3.35"
14.37,"3.1"
13.69,"3"
13.82,"3.4"
13.67,"3.3"
13.93,"3.05"
14.07,"3.5"
13.69,"3"
13.85,"3.05"
13.53,"3.3"
14.63,"2.95"
13.56,"3.2"
14.56,"3.3"
13.6,"3.25"
13.5,"3.15"
13.77,"3.25"
13.91,"3.2"
13.42,"3"
13.98,"3.35"
13.45,"3.4"
13.57,"3.45"
13.69,"3"
13.57,"3.45"
14,"3.3"
13.82,"3.4"
16.18,"2.35"
14.94,"2.75"
14.31,"3.2"
15.03,"3"
15.05,"3.25"
13.96,"3.2"
14.54,"3.05"
13.77,"3.25"
13.62,"3.4"
13.6,"3.25"
13.45,"3.4"
15.56,"3.1"
13.69,"3"
13.27,"2.95"
13.7,"3.5"
14.15,"2.95"
13.62,"3.4"
13.92,"3.05"
13.91,"3.2"
14.49,"2.95"
13.53,"3.3"
13.56,"3.2"
13.91,"3.2"
13.63,"3.1"
13.67,"3.3"
13.42,"3"
13.63,"3.1"
13.47,"3.1"
13.52,"3.3"
14.23,"3.5"
15.8,"2.7"
13.94,"3.25"
13.48,"3"
14.19,"2.95"
13.64,"3.05"
13.78,"3.2"
13.6,"3.25"
14.11,"3.05"
13.5,"3.15"
13.83,"3.15"
13.72,"3.35"
13.52,"3.3"
13.12,"3.6"
13.6,"3.25"
14.01,"3.15"
14.38,"3.2"
15.58,"3.1"
15.32,"3.3"
17.85,"3.2"
13.86,"3.25"
14.39,"3.4"
13.75,"3.05"
13.92,"3.05"
14.2,"3.35"
13.33,"2.9"
13.27,"2.95"
12.64,"2.6"
13,"3"
13.41,"3.05"
13.48,"3"
13.44,"3"
13.41,"3.05"
13.42,"3"
13.35,"3.45"
13.02,"3.25"
13.44,"3"
13.29,"3.15"
13.27,"2.95"
14.23,"3.5"
15.56,"3.1"
13.66,"3.35"
13.82,"3.4"
14.1,"3.1"
14.57,"3.4"
13.56,"3.2"
13.24,"3.15"
13.31,"3.2"
13.07,"3.3"
13.56,"3.2"
14.22,"3.05"
15.38,"3.05"
14.64,"3.35"
13.93,"3.05"
13.75,"3.05"
13.61,"3.4"
13.95,"3.5"
14.91,"3.35"
14.02,"3.1"
14.38,"3.2"
17.68,"2.85"
14.21,"3.55"
15.87,"3.3"
14.38,"3.2"
13.82,"3.4"
14.67,"3.1"
13.99,"3.4"
13.96,"3.2"
13.28,"3.15"
13.43,"3.1"
14.08,"3.15"
13.84,"3.2"
14.07,"3.5"
14.75,"3.4"
13.74,"3.3"
13.76,"3"
14.3,"3"
14.22,"3.05"
14.38,"3.2"
14.1,"3.1"
14.51,"3.05"
13.79,"3.15"
14.89,"3.05"
13.97,"3.15"
15.57,"3.35"
13.87,"3.15"
13.64,"3.05"
13.43,"3.1"
13.74,"3.3"
15.04,"3.1"
16.85,"3"
13.55,"3.3"
13.74,"3.3"
13.97,"3.15"
13.55,"3.3"
13.59,"3.15"
13.46,"3.15"
13.33,"2.9"
14.07,"3.5"
13.64,"3.05"
14.31,"3.2"
14.37,"3.1"
14,"3.3"
14.9,"3.3"
14.46,"3.35"
14.39,"3.4"
14,"3.3"
13.83,"3.15"
13.77,"3.25"
13.87,"3.15"
14.75,"3.4"
13.85,"3.05"
13.67,"3.3"
13.79,"3.15"
13.84,"3.2"
14.07,"3.5"
13.77,"3.25"
14.07,"3.5"
14.07,"3.5"
14.12,"3.15"
13.92,"3.05"
14.16,"3.2"
13.51,"3.05"
13.94,"3.25"
14.18,"3.3"
18.09,"3.65"
14.2,"3.35"
13.98,"3.35"
17.39,"3"
14.26,"3"
13.83,"3.15"
14.99,"3.25"
13.77,"3.25"
13.9,"3.4"
13.73,"3.05"
13.73,"3.05"
14.16,"3.2"
13.89,"3.2"
14.55,"3.1"
14.47,"3.35"
