CATEGORYID,LARGEID,LARGENAME,MEDIUMID,MEDIUMNAME,SMALLID,SMALLNAME,PAGES
1G0201,1G,専用機,02,【工機専用】標準工数,01,切削機　本体工事・追加工事,A
1G0202,1G,専用機,02,【工機専用】標準工数,02,研削機　本体工事・追加工事,A
1G0203,1G,専用機,02,【工機専用】標準工数,03,捲線機　本体工事・追加工事,A
1G0204,1G,専用機,02,【工機専用】標準工数,04,塑性加工機　本体工事・追加工事,A
1G0205,1G,専用機,02,【工機専用】標準工数,05,検査機　本体工事・追加工事,A
1G0206,1G,専用機,02,【工機専用】標準工数,06,組立機　本体工事・追加工事,A
1G0291,1G,専用機,02,【工機専用】標準工数,91,移設・改造,A
1G0292,1G,専用機,02,【工機専用】標準工数,92,修理・オ－バ－ホ－ル,A
1G0299,1G,専用機,02,【工機専用】標準工数,99,その他,A
1G0301,1G,専用機,03,部品製作,01,機械加工部品,A
1G0302,1G,専用機,03,部品製作,02,鋳物部品,A
1G0303,1G,専用機,03,部品製作,03,樹脂・ゴム部品,A
1G0304,1G,専用機,03,部品製作,04,木型,A
1G0305,1G,専用機,03,部品製作,05,表面処理依頼,A
1G0306,1G,専用機,03,部品製作,06,熱処理依頼,A
1G0399,1G,専用機,03,部品製作,99,その他,A
1G0450,1G,専用機,04,付帯工事,50,ソフト（2次側配線用）,A
1G0493,1G,専用機,04,付帯工事,93,二次側配線・配管,A
1G0494,1G,専用機,04,付帯工事,94,機械清掃,A
1G0501,1G,専用機,05,生産用設備設計,01,工機専用機設計,A
1G0503,1G,専用機,05,生産用設備設計,03,工機治具設計,A
1G0505,1G,専用機,05,生産用設備設計,05,工機型設計,A
1G0507,1G,専用機,05,生産用設備設計,07,工程設計・開発,A
1H0101,1H,金型,01,ASSY製作,01,モ－ルド,A
1H0102,1H,金型,01,ASSY製作,02,ダイキャスト,A
1H0103,1H,金型,01,ASSY製作,03,プレス,A
1H0104,1H,金型,01,ASSY製作,04,冷鍛,A
1H0192,1H,金型,01,ASSY製作,92,修理・オーバーホール,A
1H0301,1H,金型,03,型部品,01,機械加工部品,A
1H0302,1H,金型,03,型部品,02,鋳物部品,A
1H0303,1H,金型,03,型部品,03,樹脂・ゴム部品,A
1H0305,1H,金型,03,型部品,05,表面処理依頼,A
1H0306,1H,金型,03,型部品,06,熱処理依頼,A
1H0399,1H,金型,03,型部品,99,その他,A
2C0101,2C,生産用機器,01,プレス・シャー,01,本体,A
2C0150,2C,生産用機器,01,プレス・シャー,50,ソフト（プレス・シャー用）,A
2C0190,2C,生産用機器,01,プレス・シャー,90,専用補修部品,A
2C0191,2C,生産用機器,01,プレス・シャー,91,移設・改造,A
2C0192,2C,生産用機器,01,プレス・シャー,92,修理・オ－バ－ホ－ル,A
2C0193,2C,生産用機器,01,プレス・シャー,93,二次側配線・配管,A
2C0199,2C,生産用機器,01,プレス・シャー,99,その他,A
2C0201,2C,生産用機器,02,樹脂・ゴム成形機,01,本体,A
2C0250,2C,生産用機器,02,樹脂・ゴム成形機,50,ソフト（樹脂・ゴム成形機用）,A
2C0290,2C,生産用機器,02,樹脂・ゴム成形機,90,専用補修部品,A
2C0291,2C,生産用機器,02,樹脂・ゴム成形機,91,移設・改造,A
2C0292,2C,生産用機器,02,樹脂・ゴム成形機,92,修理・オ－バ－ホ－ル,A
2C0293,2C,生産用機器,02,樹脂・ゴム成形機,93,二次側配線・配管,A
2C0299,2C,生産用機器,02,樹脂・ゴム成形機,99,その他,A
