SUPPLIERCODE,SUPPLIERNO,SUPPLIERNAME,SHORTNAME,SITENAME,PAGES
10001B000,1000309,ダミーコード 1000309,ダミー（テスト）,（テスト用）,A
10001B001,1000499,リコージャパン株式会社 1000499,リコージャパン,三河事業所,A
10001B002,1000514,愛知トヨタEAST株式会社 1000514,愛知トヨタＥＡＳＴ,車両部法人営業室刈谷オフィス,A
10001B003,1000650,株式会社アイシン 1000650,アイシン,本社,A
10001B005,1000359,トヨタカローラ名古屋株式会社 1000359,トヨタカローラ名古屋,刈谷店,A
10001B006,1000351,トヨタL&F中部株式会社 1000351,トヨタＬ＆Ｆ中部株式会社,刈谷営業所,A
10001B007,1000104,THK株式会社 1000104,ＴＨＫ,名古屋支店,A
10001B008,1000512,愛三工業株式会社 1000512,愛三工業,本社,A
10001B010,1001202,株式会社青山製作所 1001202,青山製作所,本社,A
10001B011,1001201,株式会社青山商店 1001201,青山商店,営業窓口,A
10001B012,1000071,NECファシリティーズ株式会社 1000071,ＮＥＣファシリティーズ,本社,A
10001B015,1001378,株式会社淺野機械工業所 1001378,淺野機械,営業窓口,A
10001B016,1000634,株式会社SUBARU 1000634,ＳＵＢＡＲＵ,本工場(メーカ支給用),A
10001B017,1000037,DNP田村プラスチック株式会社 1000037,ＤＮＰ田村プラスチック,本社,A
10001B019,1000556,瓜生製作株式会社 1000556,瓜生製作,トヨタ事務所,A
10001B021,1001716,池上金型工業株式会社 1001716,池上金型工業,中部テクニカルサポートセンター,A
10001B023,1000520,旭ダイヤモンド工業株式会社 1000520,旭ダイヤモンド工業,名古屋支店,A
10001B025,1000539,伊藤忠丸紅鉄鋼株式会社 1000539,伊藤忠丸紅鉄鋼,名古屋支店,A
10001B026,1001425,近鉄ファシリティーズ株式会社 1001425,近鉄ファシリティーズ,中部支店,A
10001B027,1001643,青山特殊鋼株式会社 1001643,青山特殊鋼,豊橋営業所(電子),A
10001B029,1000100,TDDK 1000100,ＴＤＤＫ,TDDK(輸入),A
10001B030,1000529,安藤株式会社 1000529,安藤,本社,A
10001B032,1000799,株式会社シー・アイ・シー 1000799,シー・アイ・シー,岡崎営業所,A
10001B033,1000518,愛知皮革工業株式会社 1000518,愛知皮革工業,本社,A
10001B035,1001136,株式会社三井三池製作所 1001136,三井三池製作所,神奈川事業所,A
10001B036,1001936,日本電波工業株式会社 1001936,日本電波工業,中部営業所,A
10001B037,1000016,BIPROGY株式会社 1000016,ＢＩＰＲＯＧＹ,中部支社,A
10001B038,1000125,アイダエンジニアリング株式会社 1000125,アイダエンジニアリング,中部営業所,A
10001B039,1001342,株式会社富士薬品 1001342,富士薬品,本社,A
10001B041,1000942,株式会社ニューフレアテクノロジー 1000942,ニューフレアテクノロジー,本社,A
10001B042,1001655,浅井工業株式会社 1001655,浅井工業,本社,A
10001B043,1000543,井澤金属株式会社 1000543,井澤金属,名古屋支店(加工),A
10001B045,1001649,石福金属興業株式会社 1001649,石福金属興業,名古屋営業所(加工),A
10001B047,1000541,伊藤電機株式会社 1000541,伊藤電機,本社,A
10001B049,1000146,アルバック販売株式会社 1000146,アルバック販売,愛知支店,A
10001B050,1000531,伊勢久株式会社 1000531,伊勢久,名古屋南営業所,A
10001B051,1000197,オリックス・レンテック株式会社 1000197,オリックス・レンテック,名古屋支店,A
10001B052,1001066,株式会社磯貝製作所 1001066,磯貝製作所,本社,A
10001B053,1001063,株式会社井高 1001063,井高,刈谷支店,A
10001B057,1000535,伊藤精工株式会社 1000535,伊藤精工,本社・共和工場,A
10001B058,1001059,株式会社伊藤工務店 1001059,伊藤工務店,三河支店,A
10001B059,1001064,株式会社井上硝子店 1001064,井上硝子店,本社,A
10001B060,1001559,秋田工業株式会社 1001559,秋田工業,本社,A
10001B062,1001396,岩谷産業株式会社 1001396,岩谷産業,中部支社,A
10001B063,1001838,藤倉商事株式会社 1001838,藤倉商事株式会社,名古屋オフィス,A
10001B064,1001061,株式会社伊藤塗装店 1001061,伊藤塗装店,営業窓口,A
10001B067,1001635,西華産業株式会社 1001635,西華産業,名古屋支店,A
10001B068,1001607,新日本ウエックス株式会社 1001607,新日本ウエックス,本社(材料),A
10001B069,1000170,イソライト工業株式会社 1000170,イソライト工業,名古屋支店,A
10001B071,1002010,豊通鉄鋼販売株式会社 1002010,豊通鉄鋼販売,本社,A
10001B072,1000149,ウカイ産業株式会社 1000149,ウカイ産業,本社,A
10001B073,1000555,臼井国際産業株式会社 1000555,臼井国際産業,岡崎サテライト,A
10001B074,1001327,株式会社乃村工藝社 1001327,乃村工藝社,本社,A
10001B075,1000151,ウメトク株式会社 1000151,ウメトク,名古屋支店(材料),A
10001B078,1001986,芙蓉総合リース株式会社 1001986,芙蓉総合リース,名古屋支店,A
10001B080,1001123,株式会社江口巖商店 1001123,江口巖商店,みよしオフィス,A
10001B081,1000182,エリコンジャパン株式会社 1000182,エリコンジャパン,本社,A
10001B082,1000557,荏原商事株式会社 1000557,荏原商事,中部支社,A
10001B084,1000188,オーウエル株式会社 1000188,オーウエル,三河営業所,A
10001B085,1001194,株式会社成田製陶所 1001194,成田製陶所,営業本部・山口工場,A
10001B087,1002057,有限会社アピネス 1002057,アピネス,豊川工場,A
10001B088,1001238,株式会社大林組 1001238,大林組,名古屋支店,A
10001B089,1001430,栗田工業株式会社 1001430,栗田工業,名古屋支店,A
10001B090,1002036,名古屋電気株式会社 1002036,名古屋電気,本社,A
10001B091,1001666,太田商事株式会社 1001666,太田商事,第2 OTAビル,A
10001B094,1000396,ノードソン株式会社 1000396,ノードソン,本社,A
10001B095,1000736,株式会社オカムラ 1000736,オカムラ,名古屋ショールーム,A
10001B096,1000572,岡谷鋼機株式会社 1000572,岡谷鋼機,刈谷支店(メカトロ室),A
10001B097,1000572,岡谷鋼機株式会社 1000572,岡谷鋼機,本社(非鉄金属部),A
10001B098,1002074,有限会社誠文堂 1002074,誠文堂,本社,A
10001B099,1000572,岡谷鋼機株式会社 1000572,岡谷鋼機,本社(鋼板課),A
10001B100,1000572,岡谷鋼機株式会社 1000572,岡谷鋼機,刈谷支店(エレクトロニクス室),A
10001B101,1000572,岡谷鋼機株式会社 1000572,岡谷鋼機,本社(化成品課),A
10001B102,1001679,大橋鉄工株式会社 1001679,大橋鉄工,本社,A
10001B103,1001714,鍛治賢工業株式会社 1001714,鍛治賢工業,本店,A
10001B104,1000566,奥野工業株式会社 1000566,奥野工業株式会社,本社,A
10001B105,1000191,オザワ科学株式会社 1000191,オザワ科学,刈谷営業所,A
10001B106,1001957,尾張精機株式会社 1001957,尾張精機,本社・尾張旭工場,A
10001B109,1000333,デンソーテクノ株式会社 1000333,デンソーテクノ,本社,A
